iter	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	F1:use_weights=true	F1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false
62	0.6841832994	0.6657906264	0.4990151018	0.8435072142	0.8435072142	0.7441860465	0.6270627063	0.7100443951	0.6655567888
63	0.6840087114	0.6678383128	0.5013192612	0.8435072142	0.8435072142	0.7454634625	0.6288787753	0.7119866815	0.6681465039
64	0.6838809273	0.6666666667	0.5	0.8423973363	0.8423973363	0.7443000735	0.627532038	0.7105993341	0.6666666667
65	0.6837308345	0.6646099603	0.497689769	0.8368479467	0.8368479467	0.740849914	0.6241721854	0.7072697003	0.6640769515
66	0.6835671406	0.6663740123	0.4996708361	0.8423973363	0.8423973363	0.7441176471	0.6272727273	0.7103218646	0.6662967074
67	0.6834315057	0.6675461741	0.500990099	0.8423973363	0.8423973363	0.7448478901	0.6283112583	0.7114317425	0.6677765446
68	0.6832874831	0.6663736264	0.4996704021	0.8412874584	0.8412874584	0.7436840814	0.6269644334	0.7100443951	0.6662967074
69	0.683167884	0.665202109	0.4983541804	0.8401775805	0.8401775805	0.7425208436	0.6256198347	0.7086570477	0.6648168701
70	0.6830107864	0.6657906264	0.4990151018	0.8435072142	0.8435072142	0.7441860465	0.6270627063	0.7100443951	0.6655567888
71	0.6828857806	0.664628821	0.4977109222	0.8446170921	0.8446170921	0.7438905181	0.6263374486	0.7092119867	0.6640769515
72	0.6826952965	0.6646314871	0.4977139125	0.84572697	0.84572697	0.7443223443	0.6266447368	0.7094894562	0.6640769515
73	0.6825659144	0.6646341463	0.497716895	0.8468368479	0.8468368479	0.7447535383	0.6269515201	0.7097669256	0.6640769515
74	0.6824046208	0.6643478261	0.4973958333	0.8479467259	0.8479467259	0.7450024378	0.6270004103	0.7097669256	0.6637069922
75	0.6822802625	0.6637706342	0.4967490247	0.8479467259	0.8479467259	0.7446393762	0.6264862649	0.7092119867	0.6629670736
76	0.6821550255	0.6634865568	0.496430889	0.8490566038	0.8490566038	0.7448880234	0.6265356265	0.7092119867	0.6625971143
77	0.6820202385	0.6634865568	0.496430889	0.8490566038	0.8490566038	0.7448880234	0.6265356265	0.7092119867	0.6625971143
78	0.6818919252	0.6643538595	0.4974025974	0.8501664817	0.8501664817	0.7458617332	0.6276116346	0.7103218646	0.6637069922
79	0.6816933035	0.6646420824	0.497725796	0.8501664817	0.8501664817	0.7460433406	0.6278688525	0.7105993341	0.6640769515
80	0.6815586193	0.6637781629	0.4967574578	0.8501664817	0.8501664817	0.7454987835	0.6270978305	0.7097669256	0.6629670736
81	0.6813954419	0.6640692641	0.4970836034	0.8512763596	0.8512763596	0.7461089494	0.6276595745	0.7103218646	0.6633370329
82	0.6812797354	0.6631989597	0.4961089494	0.8490566038	0.8490566038	0.7447067413	0.626279165	0.7089345172	0.662227155
83	0.6811611527	0.6640658864	0.4970798183	0.8501664817	0.8501664817	0.7456802142	0.6273546274	0.7100443951	0.6633370329
84	0.6810161555	0.6629116118	0.4957874271	0.8490566038	0.8490566038	0.7445255474	0.6260229133	0.7086570477	0.6618571957
85	0.6808999082	0.6637819126	0.496761658	0.8512763596	0.8512763596	0.7459275468	0.627402863	0.7100443951	0.6629670736
86	0.6807540775	0.6643568644	0.4974059663	0.8512763596	0.8512763596	0.7462904403	0.6279164961	0.7105993341	0.6637069922
87	0.6806050758	0.6637781629	0.4967574578	0.8501664817	0.8501664817	0.7454987835	0.6270978305	0.7097669256	0.6629670736
88	0.6804684604	0.6637781629	0.4967574578	0.8501664817	0.8501664817	0.7454987835	0.6270978305	0.7097669256	0.6629670736
89	0.6803238611	0.6640726329	0.4970873786	0.8523862375	0.8523862375	0.7465370595	0.6279640229	0.7105993341	0.6633370329
90	0.6802030761	0.6649350649	0.4980544747	0.8523862375	0.8523862375	0.7470817121	0.6287351617	0.7114317425	0.6644469108
91	0.6800480781	0.665514261	0.4987046632	0.8546059933	0.8546059933	0.7482993197	0.6298568507	0.7125416204	0.6651868294
92	0.6798745974	0.6640726329	0.4970873786	0.8523862375	0.8523862375	0.7465370595	0.6279640229	0.7105993341	0.6633370329
93	0.6797247055	0.6632124352	0.496124031	0.8523862375	0.8523862375	0.7459932006	0.6271947734	0.7097669256	0.662227155
94	0.6795748434	0.6629261977	0.4958037444	0.8523862375	0.8523862375	0.7458120903	0.6269387755	0.7094894562	0.6618571957
95	0.6794258197	0.6632169038	0.4961290323	0.8534961154	0.8534961154	0.7464207717	0.62749898	0.7100443951	0.662227155
96	0.6792977357	0.6640759931	0.4970911441	0.8534961154	0.8534961154	0.7469645459	0.6282679739	0.7108768036	0.6633370329
97	0.679161822	0.6632258065	0.4961389961	0.8557158713	0.8557158713	0.7472740489	0.6281059063	0.7105993341	0.662227155
98	0.6790388311	0.6640793445	0.4970948999	0.8546059933	0.8546059933	0.7473914099	0.6285714286	0.711154273	0.6633370329
99	0.6789186998	0.6629358588	0.4958145525	0.8546059933	0.8546059933	0.7466666667	0.6275468623	0.7100443951	0.6618571957
100	0.6787690586	0.665512765	0.4987029831	0.8534961154	0.8534961154	0.7478725991	0.6295538273	0.7122641509	0.6651868294
101	0.6786309683	0.6655112652	0.4987012987	0.8523862375	0.8523862375	0.7474452555	0.6292503073	0.7119866815	0.6651868294
102	0.678477345	0.6649395509	0.4980595084	0.8546059933	0.8546059933	0.7479358912	0.6293420515	0.7119866815	0.6644469108
103	0.6783664082	0.6637968145	0.4967783505	0.8557158713	0.8557158713	0.7476363636	0.6286180188	0.711154273	0.6629670736
104	0.6782587516	0.6632213609	0.4961340206	0.8546059933	0.8546059933	0.7468477207	0.6278026906	0.7103218646	0.662227155
105	0.6781428439	0.662371134	0.4951830443	0.8557158713	0.8557158713	0.7467312349	0.6273393002	0.7097669256	0.6611172771
106	0.678012981	0.6637931034	0.4967741935	0.8546059933	0.8546059933	0.7472100922	0.6283149735	0.7108768036	0.6629670736
107	0.6779113797	0.6649395509	0.4980595084	0.8546059933	0.8546059933	0.7479358912	0.6293420515	0.7119866815	0.6644469108
108	0.6777562521	0.6635030198	0.4964493221	0.8534961154	0.8534961154	0.7466019417	0.627755102	0.7103218646	0.6625971143
109	0.6776158852	0.6649373109	0.4980569948	0.8534961154	0.8534961154	0.747509113	0.6290388548	0.711709212	0.6644469108
110	0.677524284	0.6637893828	0.4967700258	0.8534961154	0.8534961154	0.7467831998	0.6280114332	0.7105993341	0.6629670736
111	0.6773968644	0.6640793445	0.4970948999	0.8546059933	0.8546059933	0.7473914099	0.6285714286	0.711154273	0.6633370329
112	0.6772499543	0.6635152557	0.4964630225	0.8568257492	0.8568257492	0.7478808428	0.6286644951	0.711154273	0.6625971143
113	0.6771126808	0.662371134	0.4951830443	0.8557158713	0.8557158713	0.7467312349	0.6273393002	0.7097669256	0.6611172771
114	0.6770057466	0.6620926244	0.4948717949	0.8568257492	0.8568257492	0.7469762941	0.627387241	0.7097669256	0.6607473178
115	0.6768671984	0.6658086658	0.4990353698	0.8612652608	0.8612652608	0.7510283087	0.6319218241	0.7144839068	0.6655567888
116	0.676732158	0.6637931034	0.4967741935	0.8546059933	0.8546059933	0.7472100922	0.6283149735	0.7108768036	0.6629670736
117	0.676577803	0.6643717728	0.4974226804	0.8568257492	0.8568257492	0.7484246243	0.6294333469	0.7119866815	0.6637069922
118	0.676454965	0.6652305041	0.4983860555	0.8568257492	0.8568257492	0.7489691972	0.6302040816	0.7128190899	0.6648168701
119	0.6762886547	0.6649440138	0.4980645161	0.8568257492	0.8568257492	0.7487875849	0.6299469604	0.7125416204	0.6644469108
120	0.6761733801	0.6652305041	0.4983860555	0.8568257492	0.8568257492	0.7489691972	0.6302040816	0.7128190899	0.6648168701
121	0.6760620152	0.6638005159	0.4967824968	0.8568257492	0.8568257492	0.7480620155	0.6289205703	0.7114317425	0.6629670736
122	0.6759310902	0.6646551724	0.4977404777	0.8557158713	0.8557158713	0.7481804949	0.6293877551	0.7119866815	0.6640769515
123	0.6757910468	0.6632302405	0.4961439589	0.8568257492	0.8568257492	0.7476997579	0.6284086284	0.7108768036	0.662227155
124	0.6757035545	0.6640860215	0.4971023825	0.8568257492	0.8568257492	0.748243276	0.6291768541	0.711709212	0.6633370329
125	0.6755599697	0.6635233605	0.4964720975	0.859045505	0.859045505	0.7487303507	0.6292682927	0.711709212	0.6625971143
126	0.6754534057	0.6632390746	0.4961538462	0.859045505	0.859045505	0.748549323	0.6290125965	0.7114317425	0.662227155
127	0.6753167633	0.6638078902	0.4967907574	0.859045505	0.859045505	0.7489114659	0.6295241968	0.7119866815	0.6629670736
128	0.6751677272	0.6635193133	0.4964675658	0.8579356271	0.8579356271	0.7483059051	0.6289666395	0.7114317425	0.6625971143
129	0.6750635764	0.6632302405	0.4961439589	0.8568257492	0.8568257492	0.7476997579	0.6284086284	0.7108768036	0.662227155
130	0.6749441703	0.6629502573	0.4958306607	0.8579356271	0.8579356271	0.74794388	0.6284552846	0.7108768036	0.6618571957
131	0.674809771	0.6635193133	0.4964675658	0.8579356271	0.8579356271	0.7483059051	0.6289666395	0.7114317425	0.6625971143
132	0.674676078	0.6643747314	0.4974259974	0.8579356271	0.8579356271	0.7488496004	0.6297352342	0.7122641509	0.6637069922
133	0.6745684241	0.665232358	0.4983881367	0.8579356271	0.8579356271	0.7493940863	0.6305057096	0.7130965594	0.6648168701
134	0.6744503158	0.6655202064	0.4987113402	0.859045505	0.859045505	0.75	0.6310640033	0.7136514983	0.6651868294
135	0.6743191467	0.6646655232	0.4977520873	0.8601553829	0.8601553829	0.7498790518	0.6305939788	0.7130965594	0.6640769515
